workload,binding,unit,launches,source_ids,op_types,ccnt,tail,evt_active,evt_sram_rd,evt_sram_wr,evt_ext_rd,evt_ext_wr
vww4_128_128_INT8,256_Low,74,1,71,Conv2D,2015,0,2014,61,128,464,0
vww4_128_128_INT8,256_Low,75,2,72 73,AvgPool Conv2D,1030,1,,,,,
vww4_128_128_INT8,512_Mid512,0,1,1,Conv2D,21055,0,21007,1537,4144,1981,0
vww4_128_128_INT8,512_Mid512,1,1,2,Conv2D,7015,0,7014,4847,1424,8,0
vww4_128_128_INT8,512_Mid512,2,2,-1 2,Conv2D KERNEL_WAIT,2015,0,2014,621,701,37,0
vww4_128_128_INT8,512_Mid512,3,1,3,DepthwiseConv2D,9015,0,9014,1331,1115,27,0
vww4_128_128_INT8,512_Mid512,4,1,3,DepthwiseConv2D,2015,0,2014,802,981,36,0
vww4_128_128_INT8,512_Mid512,5,1,4,Conv2D,7015,0,7014,2839,4458,28,0
vww4_128_128_INT8,512_Mid512,6,1,5,Conv2D,6015,0,6014,4782,4119,50,0
vww4_128_128_INT8,512_Mid512,7,2,-1 6,DepthwiseConv2D KERNEL_WAIT,4015,0,4014,3600,1020,40,0
vww4_128_128_INT8,512_Mid512,8,1,7,Conv2D,2015,0,2014,1372,1029,35,0
vww4_128_128_INT8,512_Mid512,9,2,-1 8,Conv2D KERNEL_WAIT,2015,0,2014,555,886,50,0
vww4_128_128_INT8,512_Mid512,10,1,9,DepthwiseConv2D,2015,0,2014,854,862,0,0
vww4_128_128_INT8,512_Mid512,11,1,10,Conv2D,3015,0,3014,1279,1234,8,0
vww4_128_128_INT8,512_Mid512,12,1,11,Pad,4015,0,4014,720,904,120,0
vww4_128_128_INT8,512_Mid512,13,1,11,Pad,4015,0,4014,511,1181,256,0
vww4_128_128_INT8,512_Mid512,14,1,12,Add,2015,0,2014,1834,821,0,0
vww4_128_128_INT8,512_Mid512,15,2,-1 13,Conv2D KERNEL_WAIT,5015,0,5014,2080,2220,69,0
vww4_128_128_INT8,512_Mid512,16,1,14,DepthwiseConv2D,3015,0,3014,1841,752,235,0
vww4_128_128_INT8,512_Mid512,17,2,-1 15,Conv2D KERNEL_WAIT,1015,0,1014,0,471,224,0
vww4_128_128_INT8,512_Mid512,18,1,16,Conv2D,5015,0,5014,3056,1772,116,0
vww4_128_128_INT8,512_Mid512,19,1,17,DepthwiseConv2D,3015,0,3014,918,1301,247,0
vww4_128_128_INT8,512_Mid512,20,1,18,Conv2D,3015,0,3014,1499,840,227,0
vww4_128_128_INT8,512_Mid512,21,1,19,Pad,1015,0,1014,0,272,52,0
vww4_128_128_INT8,512_Mid512,22,1,19,Pad,1015,0,1014,124,310,157,0
vww4_128_128_INT8,512_Mid512,23,1,20,Add,2015,0,2014,1259,712,244,0
vww4_128_128_INT8,512_Mid512,24,1,21,Conv2D,2015,0,2014,1521,889,12,0
vww4_128_128_INT8,512_Mid512,25,1,21,Conv2D,2015,0,2014,1639,816,104,0
vww4_128_128_INT8,512_Mid512,26,1,22,DepthwiseConv2D,4015,0,4014,1823,1588,321,0
vww4_128_128_INT8,512_Mid512,27,1,23,Conv2D,2015,0,2014,610,543,148,0
vww4_128_128_INT8,512_Mid512,28,1,24,Pad,1015,0,1014,0,352,40,0
vww4_128_128_INT8,512_Mid512,29,1,24,Pad,2015,0,2014,592,691,360,0
vww4_128_128_INT8,512_Mid512,30,1,25,Add,1015,0,1014,525,496,256,0
vww4_128_128_INT8,512_Mid512,31,1,26,Conv2D,2015,0,2014,1642,801,5,0
vww4_128_128_INT8,512_Mid512,32,1,26,Conv2D,4015,0,4014,2569,1822,133,0
vww4_128_128_INT8,512_Mid512,33,1,27,DepthwiseConv2D,4015,0,4014,2101,624,602,0
vww4_128_128_INT8,512_Mid512,34,1,28,Conv2D,1015,0,1014,192,136,9,0
vww4_128_128_INT8,512_Mid512,35,1,29,Conv2D,8015,0,8014,1088,1280,1267,0
vww4_128_128_INT8,512_Mid512,36,1,30,DepthwiseConv2D,6015,0,6014,1088,997,900,0
vww4_128_128_INT8,512_Mid512,37,1,31,Conv2D,1015,0,1014,192,367,11,0
vww4_128_128_INT8,512_Mid512,38,1,32,Pad,1015,0,1014,0,20,0,0
vww4_128_128_INT8,512_Mid512,39,1,32,Pad,1015,0,1014,506,224,36,0
vww4_128_128_INT8,512_Mid512,40,1,33,Add,1015,0,1014,192,92,260,0
vww4_128_128_INT8,512_Mid512,41,1,34,Conv2D,6015,0,6014,986,1024,981,0
vww4_128_128_INT8,512_Mid512,42,1,35,DepthwiseConv2D,8015,0,8014,1370,1216,1162,0
vww4_128_128_INT8,512_Mid512,43,1,36,Conv2D,1015,0,1014,0,403,13,0
vww4_128_128_INT8,512_Mid512,44,2,37,Pad,1015,0,1014,319,210,46,0
vww4_128_128_INT8,512_Mid512,45,1,38,Add,1015,0,1014,578,160,4,0
vww4_128_128_INT8,512_Mid512,46,1,39,Conv2D,8015,0,8014,1088,1251,1404,0
vww4_128_128_INT8,512_Mid512,47,1,40,DepthwiseConv2D,6015,0,6014,1088,973,948,0
vww4_128_128_INT8,512_Mid512,48,1,41,Conv2D,1015,0,1014,192,335,8,0
vww4_128_128_INT8,512_Mid512,49,1,42,Pad,1015,0,1014,0,192,48,0
vww4_128_128_INT8,512_Mid512,50,2,42 43,Add Pad,2015,0,2014,912,320,278,0
vww4_128_128_INT8,512_Mid512,51,1,44,Conv2D,4015,0,4014,555,704,711,0
vww4_128_128_INT8,512_Mid512,52,1,45,DepthwiseConv2D,5015,0,5014,781,768,902,0
vww4_128_128_INT8,512_Mid512,53,1,46,Conv2D,2015,0,2014,490,320,301,0
vww4_128_128_INT8,512_Mid512,54,1,47,Conv2D,5015,0,5014,704,896,1046,0
vww4_128_128_INT8,512_Mid512,55,1,48,DepthwiseConv2D,4015,0,4014,553,512,162,0
vww4_128_128_INT8,512_Mid512,56,2,49 50,Add Conv2D,4015,0,4014,776,320,1038,0
vww4_128_128_INT8,512_Mid512,57,1,51,Conv2D,5015,0,5014,704,896,914,0
vww4_128_128_INT8,512_Mid512,58,1,52,DepthwiseConv2D,3015,0,3014,704,512,637,0
vww4_128_128_INT8,512_Mid512,59,2,53 54,Conv2D Pad,2015,0,2014,192,384,42,0
vww4_128_128_INT8,512_Mid512,60,2,54 55,Add Pad,2015,0,2014,654,448,194,0
vww4_128_128_INT8,512_Mid512,61,1,56,Conv2D,9015,0,9014,1443,1200,1932,0
vww4_128_128_INT8,512_Mid512,62,1,57,DepthwiseConv2D,6015,0,6014,288,256,462,0
vww4_128_128_INT8,512_Mid512,63,1,58,Conv2D,15,0,14,0,0,4,0
vww4_128_128_INT8,512_Mid512,64,1,59,Conv2D,3015,0,3014,16,96,214,0
vww4_128_128_INT8,512_Mid512,65,1,60,DepthwiseConv2D,3015,0,3014,208,96,150,0
vww4_128_128_INT8,512_Mid512,66,2,61 62,Add Conv2D,1015,0,1014,16,16,133,0
vww4_128_128_INT8,512_Mid512,67,1,63,Conv2D,2015,0,2014,96,96,214,0
vww4_128_128_INT8,512_Mid512,68,1,64,DepthwiseConv2D,3015,0,3014,112,96,347,0
vww4_128_128_INT8,512_Mid512,69,2,65 66,Conv2D Pad,1015,0,1014,0,48,25,0
vww4_128_128_INT8,512_Mid512,70,2,66 67,Add Pad,1015,0,1014,96,48,36,0
vww4_128_128_INT8,512_Mid512,71,1,68,Conv2D,3015,0,3014,96,96,355,0
vww4_128_128_INT8,512_Mid512,72,1,69,DepthwiseConv2D,2015,0,2014,96,96,291,0
vww4_128_128_INT8,512_Mid512,73,1,70,Conv2D,1015,0,1014,32,32,78,0
vww4_128_128_INT8,512_Mid512,74,2,71 72,AvgPool Conv2D,4015,0,4014,136,136,464,0
vww4_128_128_INT8,512_Mid512,75,1,73,Conv2D,1030,1,,,,,
vww4_128_128_INT8,512_Low,0,1,1,Conv2D,21055,0,21007,1516,4144,1981,0
vww4_128_128_INT8,512_Low,1,1,2,Conv2D,7015,0,7014,4865,1408,8,0
vww4_128_128_INT8,512_Low,2,2,-1 2,Conv2D KERNEL_WAIT,2015,0,2014,634,712,37,0
vww4_128_128_INT8,512_Low,3,1,3,DepthwiseConv2D,9015,0,9014,1313,1099,27,0
vww4_128_128_INT8,512_Low,4,1,3,DepthwiseConv2D,2015,0,2014,786,989,36,0
vww4_128_128_INT8,512_Low,5,1,4,Conv2D,7015,0,7014,2845,4436,28,0
vww4_128_128_INT8,512_Low,6,1,5,Conv2D,6015,0,6014,4797,4132,37,0
vww4_128_128_INT8,512_Low,7,2,-1 6,DepthwiseConv2D KERNEL_WAIT,4015,0,4014,3589,1044,44,0
vww4_128_128_INT8,512_Low,8,1,7,Conv2D,2015,0,2014,1399,1030,35,0
vww4_128_128_INT8,512_Low,9,2,-1 8,Conv2D KERNEL_WAIT,2015,0,2014,531,886,50,0
vww4_128_128_INT8,512_Low,10,1,9,DepthwiseConv2D,2015,0,2014,860,878,0,0
vww4_128_128_INT8,512_Low,11,1,10,Conv2D,3015,0,3014,1306,1232,8,0
vww4_128_128_INT8,512_Low,12,1,11,Pad,4015,0,4014,720,907,120,0
vww4_128_128_INT8,512_Low,13,1,11,Pad,4015,0,4014,488,1177,256,0
vww4_128_128_INT8,512_Low,14,1,12,Add,2015,0,2014,1825,832,0,0
vww4_128_128_INT8,512_Low,15,2,-1 13,Conv2D KERNEL_WAIT,5015,0,5014,2072,2221,69,0
vww4_128_128_INT8,512_Low,16,1,14,DepthwiseConv2D,3015,0,3014,1862,752,235,0
vww4_128_128_INT8,512_Low,17,2,-1 15,Conv2D KERNEL_WAIT,1015,0,1014,0,480,224,0
vww4_128_128_INT8,512_Low,18,1,16,Conv2D,5015,0,5014,3039,1980,335,0
vww4_128_128_INT8,512_Low,19,1,17,DepthwiseConv2D,3015,0,3014,1117,1312,28,0
vww4_128_128_INT8,512_Low,20,1,18,Conv2D,3015,0,3014,1751,880,12,0
vww4_128_128_INT8,512_Low,21,1,19,Pad,1015,0,1014,0,233,48,0
vww4_128_128_INT8,512_Low,22,1,19,Pad,1015,0,1014,124,310,161,0
vww4_128_128_INT8,512_Low,23,1,20,Add,2015,0,2014,1259,712,240,0
vww4_128_128_INT8,512_Low,24,1,21,Conv2D,2015,0,2014,1521,889,12,0
vww4_128_128_INT8,512_Low,25,1,21,Conv2D,2015,0,2014,1639,1036,328,0
vww4_128_128_INT8,512_Low,26,1,22,DepthwiseConv2D,4015,0,4014,2029,1588,32,0
vww4_128_128_INT8,512_Low,27,1,23,Conv2D,2015,0,2014,848,595,8,0
vww4_128_128_INT8,512_Low,28,1,24,Pad,1015,0,1014,0,302,40,0
vww4_128_128_INT8,512_Low,29,1,24,Pad,2015,0,2014,592,691,360,0
vww4_128_128_INT8,512_Low,30,1,25,Add,1015,0,1014,525,496,256,0
vww4_128_128_INT8,512_Low,31,1,26,Conv2D,2015,0,2014,1642,801,5,0
vww4_128_128_INT8,512_Low,32,1,26,Conv2D,4015,0,4014,2569,1822,133,0
vww4_128_128_INT8,512_Low,33,1,27,DepthwiseConv2D,4015,0,4014,2101,624,604,0
vww4_128_128_INT8,512_Low,34,1,28,Conv2D,1015,0,1014,192,136,9,0
vww4_128_128_INT8,512_Low,35,1,29,Conv2D,8015,0,8014,1088,1280,1267,0
vww4_128_128_INT8,512_Low,36,1,30,DepthwiseConv2D,6015,0,6014,1088,997,900,0
vww4_128_128_INT8,512_Low,37,1,31,Conv2D,1015,0,1014,192,367,11,0
vww4_128_128_INT8,512_Low,38,1,32,Pad,1015,0,1014,0,20,0,0
vww4_128_128_INT8,512_Low,39,1,32,Pad,1015,0,1014,506,224,32,0
vww4_128_128_INT8,512_Low,40,1,33,Add,1015,0,1014,192,92,264,0
vww4_128_128_INT8,512_Low,41,1,34,Conv2D,6015,0,6014,986,1024,981,0
vww4_128_128_INT8,512_Low,42,1,35,DepthwiseConv2D,8015,0,8014,1370,1216,1158,0
vww4_128_128_INT8,512_Low,43,1,36,Conv2D,1015,0,1014,0,403,13,0
vww4_128_128_INT8,512_Low,44,2,37,Pad,1015,0,1014,319,210,48,0
vww4_128_128_INT8,512_Low,45,1,38,Add,1015,0,1014,578,160,4,0
vww4_128_128_INT8,512_Low,46,1,39,Conv2D,8015,0,8014,1088,1251,1404,0
vww4_128_128_INT8,512_Low,47,1,40,DepthwiseConv2D,6015,0,6014,1088,973,948,0
vww4_128_128_INT8,512_Low,48,1,41,Conv2D,1015,0,1014,192,335,8,0
vww4_128_128_INT8,512_Low,49,1,42,Pad,1015,0,1014,0,192,48,0
vww4_128_128_INT8,512_Low,50,2,42 43,Add Pad,2015,0,2014,912,320,278,0
vww4_128_128_INT8,512_Low,51,1,44,Conv2D,4015,0,4014,555,704,711,0
vww4_128_128_INT8,512_Low,52,1,45,DepthwiseConv2D,5015,0,5014,781,768,902,0
vww4_128_128_INT8,512_Low,53,1,46,Conv2D,2015,0,2014,490,320,301,0
vww4_128_128_INT8,512_Low,54,1,47,Conv2D,5015,0,5014,704,896,1046,0
vww4_128_128_INT8,512_Low,55,1,48,DepthwiseConv2D,4015,0,4014,553,512,162,0
vww4_128_128_INT8,512_Low,56,2,49 50,Add Conv2D,4015,0,4014,776,320,1038,0
vww4_128_128_INT8,512_Low,57,1,51,Conv2D,5015,0,5014,704,896,914,0
