workload,binding_pair,source_id,op_identity,launches_256,launches_512,sched_joined_256,sched_joined_512
vww4_128_128_INT8,B-frozen,21,Conv2D|16x16x96|1x1|20,2,2,1,1
vww4_128_128_INT8,B-frozen,22,DepthwiseConv2D|16x16x96|1x1|21,1,1,1,1
vww4_128_128_INT8,B-frozen,23,Conv2D|16x16x28|1x1|22,1,1,1,1
vww4_128_128_INT8,B-frozen,24,Pad|16x16x32|1x1|23,2,2,0,0
vww4_128_128_INT8,B-frozen,25,Add|16x16x32|1x1|24,1,1,1,1
vww4_128_128_INT8,B-frozen,26,Conv2D|16x16x152|1x1|25,2,2,1,1
vww4_128_128_INT8,B-frozen,27,DepthwiseConv2D|8x8x152|1x1|26,1,1,1,1
vww4_128_128_INT8,B-frozen,28,Conv2D|8x8x44|1x1|27,1,1,1,1
vww4_128_128_INT8,B-frozen,29,Conv2D|8x8x268|1x1|28,1,1,1,1
vww4_128_128_INT8,B-frozen,30,DepthwiseConv2D|8x8x268|1x1|29,1,1,1,1
vww4_128_128_INT8,B-frozen,31,Conv2D|8x8x40|1x1|30,1,1,1,1
vww4_128_128_INT8,B-frozen,32,Pad|8x8x44|1x1|31,2,2,0,0
vww4_128_128_INT8,B-frozen,33,Add|8x8x44|1x1|32,1,1,1,1
vww4_128_128_INT8,B-frozen,34,Conv2D|8x8x268|1x1|33,1,1,1,1
vww4_128_128_INT8,B-frozen,35,DepthwiseConv2D|8x8x268|1x1|34,1,1,1,1
vww4_128_128_INT8,B-frozen,36,Conv2D|8x8x52|1x1|35,1,1,1,1
vww4_128_128_INT8,B-frozen,37,Pad|8x8x52|1x1|36,2,2,0,0
vww4_128_128_INT8,B-frozen,38,Add|8x8x52|1x1|37,1,1,1,1
vww4_128_128_INT8,B-frozen,39,Conv2D|8x8x268|1x1|38,1,1,1,1
vww4_128_128_INT8,B-frozen,40,DepthwiseConv2D|8x8x268|1x1|39,1,1,1,1
vww4_128_128_INT8,B-frozen,41,Conv2D|8x8x44|1x1|40,1,1,1,1
vww4_128_128_INT8,B-frozen,42,Pad|8x8x52|1x1|41,2,2,0,0
vww4_128_128_INT8,B-frozen,43,Add|8x8x52|1x1|42,1,1,1,1
vww4_128_128_INT8,B-frozen,44,Conv2D|8x8x192|1x1|43,1,1,1,1
vww4_128_128_INT8,B-frozen,45,DepthwiseConv2D|8x8x192|1x1|44,1,1,1,1
vww4_128_128_INT8,B-frozen,46,Conv2D|8x8x68|1x1|45,1,1,1,1
vww4_128_128_INT8,B-frozen,47,Conv2D|8x8x172|1x1|46,1,1,1,1
vww4_128_128_INT8,B-frozen,48,DepthwiseConv2D|8x8x172|1x1|47,1,1,1,1
vww4_128_128_INT8,B-frozen,49,Conv2D|8x8x68|1x1|48,1,1,1,1
vww4_128_128_INT8,B-frozen,50,Add|8x8x68|1x1|49,1,1,0,0
vww4_128_128_INT8,B-frozen,51,Conv2D|8x8x172|1x1|50,1,1,1,1
vww4_128_128_INT8,B-frozen,52,DepthwiseConv2D|8x8x172|1x1|51,1,1,1,1
vww4_128_128_INT8,B-frozen,53,Conv2D|8x8x48|1x1|52,1,1,1,1
vww4_128_128_INT8,B-frozen,54,Pad|8x8x68|1x1|53,2,2,0,0
vww4_128_128_INT8,B-frozen,55,Add|8x8x68|1x1|54,1,1,1,1
vww4_128_128_INT8,B-frozen,56,Conv2D|8x8x288|1x1|55,1,1,1,1
vww4_128_128_INT8,B-frozen,57,DepthwiseConv2D|4x4x288|1x1|56,1,1,1,1
vww4_128_128_INT8,B-frozen,58,Conv2D|4x4x16|1x1|57,1,1,1,1
vww4_128_128_INT8,B-frozen,59,Conv2D|4x4x96|1x1|58,1,1,1,1
