workload,binding_pair,source_id,op_identity,op_type,launches_256,launches_512,cycles_256,cycles_512,separable,observed_direction,tail_in_op_256,tail_in_op_512,vela_cycles_256,vela_cycles_512,ublock_256,ublock_512,block_256,block_512,stripes_256,stripes_512,cascade_256,cascade_512,UBLOCK_CHANGED,BLOCK_CONFIG_CHANGED,TILE_GEOMETRY_CHANGED,MEMORY_PLACEMENT_CHANGED,COMMAND_OR_PASS_STRUCTURE_CHANGED,active_512,sram_rd_512,sram_wr_512,ext_rd_512,ext_wr_512,active_256,sram_rd_256,sram_wr_256,ext_rd_256,ext_wr_256
rnnoise_INT8,B-frozen,62,FullyConnected|1x1x22|1x1|61,FullyConnected,1,1,1030,1030,1,SAME,1,1,782,792,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 24] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 32] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 22]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 22]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-frozen,65,Reshape|1x1x24|1x1|64,Reshape,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-frozen,66,FullyConnected|1x1x1|1x1|65,FullyConnected,1,1,1015,2015,1,REGRESS,0,0,405,421,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 16] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 16] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 1]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 1]",0,0,1,1,0,0,0,2014,3,2,306,1,1014,3,1,152,1
rnnoise_INT8,B-held,1,FullyConnected|1x1x288|1x1|0,FullyConnected,1,1,,9015,0,NOT_SEPARATED,0,0,7929,7929,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 288] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 288] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 288]","IFM[1, 1, 1, 96] OFM[1, 1, 1, 288]",0,0,1,1,0,0,0,9014,3,24,2201,0,,,,,
rnnoise_INT8,B-held,3,Reshape|1x1x42|1x1|2,Reshape,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,4,FullyConnected|1x1x24|1x1|3,FullyConnected,1,1,2015,1015,1,IMPROVE,0,0,801,812,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 24] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 32] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 42] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 42] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,1014,2,2,136,0,2014,2,6,270,0
rnnoise_INT8,B-held,8,FullyConnected|1x1x72|1x1|7,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,2037,2037,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 72] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 80] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,10,FullyConnected|1x1x144|1x1|9,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,3888,3869,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 144] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 144] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 144]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 144]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,12,FullyConnected|1x1x72|1x1|11,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,2037,2036,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 72] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 80] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 72]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,14,Add|1x1x24|1x1|13,Add,1,1,,1015,0,NOT_SEPARATED,0,0,8,4,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,1014,4,0,48,2,,,,,
rnnoise_INT8,B-held,16,Sub|1x1x24|1x1|15,Sub,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,17,Add|1x1x24|1x1|16,Add,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,19,Mul|1x1x24|1x1|18,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,20,Add|1x1x24|1x1|19,Add,1,1,,,0,NOT_SEPARATED,0,0,8,4,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,22,Mul|1x1x24|1x1|21,Mul,1,1,,,0,NOT_SEPARATED,0,0,16,8,"[1, 2, 16]","[2, 2, 16]","OFM[1, 64, 32] IFM[1, 64, 32]","OFM[2, 128, 32] IFM[2, 128, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,23,Mul|1x1x24|1x1|22,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,24,Add|1x1x24|1x1|23,Add,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,25,Pack|1x1x24|1x1|24,Pack,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,26,Quantize|1x1x24|1x1|25,Quantize,1,1,,,0,NOT_SEPARATED,0,0,406,401,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 32] IFM[1, 1, 2, 32]","OFM[2, 2, 32] IFM[1, 2, 2, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,27,Quantize|1x1x24|1x1|26,Quantize,1,1,,,0,NOT_SEPARATED,0,0,406,401,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 32] IFM[1, 1, 2, 32]","OFM[2, 2, 32] IFM[1, 2, 2, 32]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]","IFM[1, 1, 1, 24] OFM[1, 1, 1, 24]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,28,Concat|1x1x90|1x1|27,Concat,3,3,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,30,FullyConnected|1x1x144|1x1|29,FullyConnected,1,1,,,0,NOT_SEPARATED,0,0,4033,4014,"[1, 4, 8]","[2, 2, 16]","OFM[1, 1, 4, 144] IFM[1, 1, 4, 64]","OFM[1, 2, 2, 144] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 90] OFM[1, 1, 1, 144]","IFM[1, 1, 1, 90] OFM[1, 1, 1, 144]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,32,Add|1x1x48|1x1|31,Add,1,1,,1015,0,NOT_SEPARATED,0,0,12,6,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,1014,0,0,16,3,,,,,
rnnoise_INT8,B-held,34,Mul|1x1x48|1x1|33,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,35,Sub|1x1x48|1x1|34,Sub,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,36,Add|1x1x48|1x1|35,Add,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,38,Mul|1x1x48|1x1|37,Mul,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,39,Add|1x1x48|1x1|38,Add,1,1,,,0,NOT_SEPARATED,0,0,12,6,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,40,Mul|1x1x48|1x1|39,Mul,1,1,,,0,NOT_SEPARATED,0,0,24,12,"[1, 2, 16]","[2, 2, 16]","OFM[1, 42, 48] IFM[1, 42, 48]","OFM[2, 86, 48] IFM[2, 86, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
rnnoise_INT8,B-held,41,Add|1x1x48|1x1|40,Add,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,42,Pack|1x1x48|1x1|41,Pack,1,1,,,0,NOT_SEPARATED,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,
rnnoise_INT8,B-held,43,Quantize|1x1x48|1x1|42,Quantize,1,1,,,0,NOT_SEPARATED,0,0,423,414,"[1, 2, 16]","[2, 2, 16]","OFM[1, 2, 48] IFM[1, 1, 2, 64]","OFM[2, 2, 48] IFM[1, 2, 2, 64]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]","IFM[1, 1, 1, 48] OFM[1, 1, 1, 48]",0,0,1,1,0,0,0,,,,,,,,,,
