accelerator_config,cpu_operator_pct,cpu_operators,mac_config,memory_mode,model,model_sha256,npu,npu_operators,output_artifact,output_sha256,platform,success,system_config,vela_args,vela_core_clock,vela_cycles_dram_access,vela_cycles_npu,vela_cycles_sram_access,vela_cycles_total,vela_dram_memory_used,vela_dram_total_bytes,vela_inference_time,vela_sram_memory_used,vela_sram_total_bytes,vela_total_npu_encoded_weights,vela_version
ethos-u55-128,0.0,0,128,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,d98a6f40c47fb2ebc88f9ece65db40452220c19e23d014eb8706348215943406,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-128 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u55-128 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,410920,169777,410920,0.0,0,0.00082184,110.75,1506088,122432,5.0.0
ethos-u55-256,0.0,0,256,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,bfbeaedf0e11e287334519e9347ac74044a7f4b462372c167f5240e755ed02bc,SSE-300,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u55-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,244463,149051,255615,0.0,0,0.00051123,103.984375,1281448,122544,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,SSE-300,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,85880,224931,65302,225007,135.203125,414528,0.000225007,110.71875,1182848,122352,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,SSE-300,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-300__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,89135,116075,66084,152017,135.75,415088,0.000152017,110.765625,1183808,122896,5.0.0
ethos-u55-32,0.0,0,32,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,09bf0e8f3fc493b2938887584ffb6fd47936c04b6ce44b674f7cff93d58e783f,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-32 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u55-32 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,1401405,186852,1401405,0.0,0,0.00280281,110.625,1695296,122112,5.0.0
ethos-u55-64,0.0,0,64,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,80e6eab37ccb675ae7028d2844e6207a7d500d4f43536e4ea9749362c6be57ee,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-64 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u55-64 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,730268,187506,730268,0.0,0,0.001460536,110.71875,1696392,122352,5.0.0
ethos-u55-128,0.0,0,128,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,d98a6f40c47fb2ebc88f9ece65db40452220c19e23d014eb8706348215943406,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-128 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u55-128 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,410920,169777,410920,0.0,0,0.00082184,110.75,1506088,122432,5.0.0
ethos-u55-256,0.0,0,256,Shared_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u55,13,kws_micronet_m_vela.tflite,bfbeaedf0e11e287334519e9347ac74044a7f4b462372c167f5240e755ed02bc,SSE-310,True,Ethos_U55_High_End_Embedded,--accelerator-config ethos-u55-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U55_High_End_Embedded --memory-mode Shared_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u55-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,500000000.0,0,244463,149051,255615,0.0,0,0.00051123,103.984375,1281448,122544,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,85880,224931,65302,225007,135.203125,414528,0.000225007,110.71875,1182848,122352,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,SSE-310,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-310__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,89135,116075,66084,152017,135.75,415088,0.000152017,110.765625,1183808,122896,5.0.0
ethos-u65-256,0.0,0,256,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,8b7930df8bb7ff522beb03199b725cf3a920fe6cf465df13a880d0f87a202d74,SSE-315,True,Ethos_U65_High_End,--accelerator-config ethos-u65-256 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-315__ethos-u65-256 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,85880,224931,65302,225007,135.203125,414528,0.000225007,110.71875,1182848,122352,5.0.0
ethos-u65-512,0.0,0,512,Dedicated_Sram,kws_micronet_m,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,ethos-u65,13,kws_micronet_m_vela.tflite,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,SSE-315,True,Ethos_U65_High_End,--accelerator-config ethos-u65-512 --config /opt/arm/ml-embedded-evaluation-kit/scripts/vela/default_vela.ini --system-config Ethos_U65_High_End --memory-mode Dedicated_Sram --optimise Performance --output-dir /tmp/vela_matrix/kws_micronet_m__SSE-315__ethos-u65-512 /opt/arm/ml-embedded-evaluation-kit/resources_downloaded/kws/kws_micronet_m.tflite,1000000000.0,89135,116075,66084,152017,135.75,415088,0.000152017,110.765625,1183808,122896,5.0.0
