seq,cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,M1_eq_M2_eq_M3,canonical_cycles,npu_active_cycles,npu_idle_cycles,axi0_rd_beats,axi0_wr_beats,axi1_rd_beats,model_sha256,vela_sha256,axf_sha256
31,mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u65-256,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,3730068,3729063,1005,819627,453488,254532,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,ffb3cc5eddee3e43a4e1bdb17ea38d312b1aacf70fb87f24d981d290b29b62a2
32,wav2letter_pruned_int8__SSE-300__ethos-u65-256,wav2letter_pruned_int8,SSE-300,ethos-u65,256,Dedicated_Sram,ON,True,16341068,16340607,461,3317934,886938,1391901,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,9ed66fe10f15b4fcb65b957f526d40cf86e3d9dc14c6be838b7f6c0ac8f246d8,62ae21ca737aa694d996a7f3f41bbfbb6101bb24005ca117ced264af307f5329
33,rnnoise_INT8__SSE-300__ethos-u65-512,rnnoise_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,50086,49484,602,207,176,7202,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,13c2f7daab192e34784b571eb97cea752005b3969cda1135dd637fd73306cbb7,8e51243e5e5b3b110ced49fe3e7b4db9bf07f1f6a0fde8453611f28383d3efe8
34,kws_micronet_m__SSE-300__ethos-u65-512,kws_micronet_m,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,130068,129459,609,46600,23413,10257,c1feed3af5dac44de7477fb4161670ba18a3fc06039e4a14da41b1c4dd454cb4,7b67b867a8206bdaaf05869c11ff67f1462210055c126dcd13de422633d17216,d59ca87ddc480b5d928d7694dd724ed6dbbbb3955622224d526c3d4b1b1bf2d0
35,ad_medium_int8__SSE-300__ethos-u65-512,ad_medium_int8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,301068,300455,613,160368,57579,28728,a8b1c9037c2a80e6ff770f0a550777cf744a52850bed6545b2bfc9bacf604c98,6af7fcec9a9518d706acf4c4705a4ed2aedcfb4ccfcd192da8e449e3244a4659,7666ba03658f2930c967a942c0a214f71abf425a3ce278a0e2221e5235a8455c
36,vww4_128_128_INT8__SSE-300__ethos-u65-512,vww4_128_128_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,283068,282784,284,76093,64206,22326,5e76364e80c45776b735563679d45f611cab7ce7fef2ec4e2db088afe009ccae,7f44e427cb3900bcfbacb0c8202c196cffdce83a2b5511373851bcf402526b7b,5848263d0ac27798e8bb9b33ce751da39b7597ad415d7f88ea16b35255290639
37,yolo-fastest_192_face_v4__SSE-300__ethos-u65-512,yolo-fastest_192_face_v4,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,747074,746029,1045,258101,199749,26814,e94bcdb011784bead70ab0c0e9d2dae1a9ea5f103b43e1e6fac3019302cf71ab,70f1056de8372871484cd503c536472396595e678b76b5ce45d2b11c46ddbe0a,a4d6fd01979b07c53c6022848cbbfd137424a92462fcb370784e5b36252d0a3b
38,mobilenet_v2_1.0_224_INT8__SSE-300__ethos-u65-512,mobilenet_v2_1.0_224_INT8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,2424068,2423399,669,827774,453576,254695,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,d3407421a44ce0d87ff70ab4a93e5c88980b4459cf625ea5b492bd73a74c87a2
39,wav2letter_pruned_int8__SSE-300__ethos-u65-512,wav2letter_pruned_int8,SSE-300,ethos-u65,512,Dedicated_Sram,ON,True,9839068,9838044,1024,3299579,881591,1418048,e0814a0e586f2f2881f7fe96e6bc0b8e4cfecc8d64ced56d8f7ca85b9b7ab257,f77a6903da014b751929ee1fd1b2d87c79c8e8808fb39ff702ed798db0643398,b0a9bc3d8897e09a4427e0fe1c4859bb0838ae7b5485a77161ed6f32da0d9faf
40,rnnoise_INT8__SSE-320__ethos-u85-128,rnnoise_INT8,SSE-320,ethos-u85,128,Dedicated_Sram,ON,True,36086,35248,838,,,,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,a41290173171ac803fa6d21fc48c36d335bae3bf9d966a10bab98d689105f321,08555dc77e4089c2665c53143b984ff9fb45c11d685f4d5930166b1a891de314
