cell_id,workload,platform,npu,mac_config,memory_mode,timing_adapter,universe,classification,reason
mobilenet_v2_1.0_224_INT8__SSE-310__ethos-u55-64,mobilenet_v2_1.0_224_INT8,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-310__ethos-u55-64,rnnoise_INT8,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-310__ethos-u55-64,vww4_128_128_INT8,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
wav2letter_pruned_int8__SSE-310__ethos-u55-64,wav2letter_pruned_int8,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,NOT_EXECUTABLE_MEMORY,RETRY_LINK_REGION_OVERFLOW
yolo-fastest_192_face_v4__SSE-310__ethos-u55-64,yolo-fastest_192_face_v4,SSE-310,ethos-u55,64,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
ad_medium_int8__SSE-310__ethos-u55-128,ad_medium_int8,SSE-310,ethos-u55,128,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
kws_micronet_m__SSE-310__ethos-u55-128,kws_micronet_m,SSE-310,ethos-u55,128,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
mobilenet_v2_1.0_224_INT8__SSE-310__ethos-u55-128,mobilenet_v2_1.0_224_INT8,SSE-310,ethos-u55,128,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
rnnoise_INT8__SSE-310__ethos-u55-128,rnnoise_INT8,SSE-310,ethos-u55,128,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
vww4_128_128_INT8__SSE-310__ethos-u55-128,vww4_128_128_INT8,SSE-310,ethos-u55,128,Shared_Sram,OFF,TA_OFF_DIAGNOSTIC,EXECUTABLE,RAN_AT_DEFAULT_ARENA
