workload,npu,mac,source_model_sha256,memory_mode,system_config,platform_A,platform_B,vela_artifact_sha256_A,vela_artifact_sha256_B,vela_artifact_identity,host_firmware_identity,per_platform_executability,cross_platform_same_artifact_portability,reuse_class
mobilenet_v2_1.0_224_INT8,ethos-u55,256,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,43a89ba81b5c0380c826fa90e0260387877e6adb466a1d2da867445ee2b23475,43a89ba81b5c0380c826fa90e0260387877e6adb466a1d2da867445ee2b23475,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u55,32,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,11507413d86c7afda68de517b52eff92d62fe996816ff5114092e848563a3048,11507413d86c7afda68de517b52eff92d62fe996816ff5114092e848563a3048,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u55,64,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,0caf0bb0c54911071d4fc1e39024d79e1e4d094efc7054d19bede41bf363f782,0caf0bb0c54911071d4fc1e39024d79e1e4d094efc7054d19bede41bf363f782,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,256,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,256,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,256,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,fc3e393dd52c29f90521f764329fbf582c303b1c6ea29fd11d14ad1d96f1406e,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,512,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-310,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,512,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-300,SSE-315,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
mobilenet_v2_1.0_224_INT8,ethos-u65,512,bd8d56b80557a5fca7acf14f61e5339285c02810f7d7afa714b9763fc4b86e95,Dedicated_Sram,Ethos_U65_High_End,SSE-310,SSE-315,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,7c5599aa2c880e849b60f3fbda9574280c0d81f51ce6e8534857c6d7ce9fc560,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
rnnoise_INT8,ethos-u55,128,9c582545b7c13af44616c44b654f4fe721aa2585630b0ca173ca3589f6f11c2c,Shared_Sram,Ethos_U55_High_End_Embedded,SSE-300,SSE-310,dc90c7834d575c66e759e294c1e22380d2b3c387cc41ead31b6810c0e714e0f3,dc90c7834d575c66e759e294c1e22380d2b3c387cc41ead31b6810c0e714e0f3,IDENTICAL,PLATFORM_SPECIFIC,EXECUTABLE/EXECUTABLE,ESTABLISHED,FIRMWARE_PLATFORM_SPECIFIC_BUT_NPU_ARTIFACT_IDENTICAL
